Player_ID,Player_Name,Update_Time,AERIAL_WON,ASSIST,DRIBBLED_WON,DUEL_TACKLE_WON,FOULED,GOALKEEPER_CONCEDED,GOALKEEPER_SAVED,GOAL_FOR,INTERCEPTION_WON,PASS_CROSS_WON,RED_CARD,SHOT_ON_TARGET,SHOT_ON_TARGET_OUTSIDE,YELLOW_CARD
3,Ryan Ha,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,0,5,2,1
11,Võ Minh Trọng,2025-10-09 08:10:53,0,0,0,0,0,0,0,1,0,0,0,2,1,1
16,Nguyễn Tiến Linh,2025-10-09 08:10:53,0,0,0,0,1,0,0,3,0,0,0,6,0,0
22,Võ Hoàng Minh Khoa,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,0,2,2,0
24,Lê Quang Hùng,2025-10-09 08:10:53,0,2,0,0,3,0,0,0,0,1,0,0,0,1
25,Trần Trung Hiếu,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28,Bùi Duy Thường,2025-10-09 08:10:53,0,1,0,0,0,0,0,0,0,1,0,0,0,0
34,Nguyễn Xuân Nam,2025-10-09 08:10:53,0,1,0,0,0,0,0,0,0,1,0,0,0,0
40,Bùi Tiến Dụng,2025-10-09 08:10:53,0,0,0,0,0,0,0,1,0,0,0,2,1,2
43,Nguyễn Quang Hải,2025-10-09 08:10:53,0,2,0,0,0,0,0,2,0,0,0,5,3,0
49,Hồ Văn Cường,2025-10-09 08:10:53,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,Huỳnh Tấn Tài,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,1,0,1,1
52,Phạm Gia Hưng,2025-10-09 08:10:53,0,0,0,0,0,0,0,1,0,0,0,0,0,0
55,Candido Silveira Geovane Magno,2025-10-09 08:10:53,0,0,0,0,0,0,0,2,0,0,1,4,2,0
62,Lê Văn Thắng,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,Rimario Allando Gordon,2025-10-09 08:10:53,0,0,0,0,0,0,0,1,0,0,0,3,2,1
64,Nguyễn Thái Sơn,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,0,0,1,1
68,Lâm Ti Phông,2025-10-09 08:10:53,0,0,0,0,0,0,0,1,0,0,0,0,1,0
69,Đinh Viết Tú,2025-10-09 08:10:53,0,1,0,0,0,0,0,0,0,1,0,0,0,1
76,A Mít,2025-10-09 08:10:53,0,1,0,0,0,0,0,0,0,0,0,0,0,1
77,Hoàng Thái Bình,2025-10-09 08:10:53,0,1,0,0,0,0,0,0,0,0,0,0,0,0
84,Luiz Antonio De Souza Soares,2025-10-09 08:10:53,0,1,0,0,1,0,0,2,0,0,0,11,6,0
91,Phạm Xuân Mạnh,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,0,2,0,1
92,Đậu Văn Toàn,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,Phạm Tuấn Hải,2025-10-09 08:10:53,0,0,0,0,0,0,0,2,0,0,0,5,2,0
94,Nguyễn Văn Quyết,2025-10-09 08:10:53,0,1,0,0,2,0,0,0,0,0,0,5,3,0
95,Nguyễn Hai Long,2025-10-09 08:10:53,0,1,0,0,2,0,0,0,0,0,0,6,4,0
96,Nguyễn Đức Anh,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,Nguyễn Thành Chung,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,0,0,0,2
99,Vũ Đình Hai,2025-10-09 08:10:53,0,0,0,0,0,0,0,1,0,0,0,0,0,0
103,Lê Văn Xuân,2025-10-09 08:10:53,0,1,0,0,0,0,0,0,0,0,0,0,0,1
107,Trương Văn Thái Quý,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110,Nguyễn Văn Tùng,2025-10-09 08:10:53,0,1,0,0,0,0,0,1,0,0,0,4,2,0
111,Tagueu Tadjo Diederrick Joel,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,0,2,0,0
118,Mpande Joseph Mbolimbo,2025-10-09 08:10:53,0,0,0,0,1,0,0,1,0,0,1,2,1,0
120,Goncalves Silva Lucas Vinicius,2025-10-09 08:10:53,0,2,0,0,0,0,0,3,0,0,0,6,2,1
121,Hồ Minh Dĩ,2025-10-09 08:10:53,0,2,0,0,0,0,0,0,0,1,0,0,0,0
123,Lê Mạnh Dũng,2025-10-09 08:10:53,0,1,0,0,1,0,0,1,0,0,0,0,0,1
127,Bicou Bissainthe,2025-10-09 08:10:53,0,0,0,0,0,0,0,1,0,0,0,0,0,1
130,Lương Hoàng Nam,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,0,0,1,0
136,Nguyễn Hữu Sơn,2025-10-09 08:10:53,0,0,0,0,1,0,0,0,0,0,0,2,1,1
138,Phạm Hoài Dương,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,0,0,0,1
139,Triệu Việt Hưng,2025-10-09 08:10:53,0,0,0,0,0,0,0,1,0,0,0,2,0,0
145,Châu Ngọc Quang,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,0,0,1,0
146,Đinh Thanh Bình,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,0,0,0,1
148,Nguyễn Tuấn Anh,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,0,0,0,1
149,Nguyễn Thanh Nhân,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,0,0,0,1
160,Jairo Rodrigues Peixoto Filho,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,0,0,0,1
162,Võ Đình Lâm,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,0,0,1,0
163,Phan Du Học,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,0,1,1,1
165,Dụng Quang Nho,2025-10-09 08:10:53,0,0,0,0,0,0,0,1,0,0,0,1,0,2
168,Nguyễn Văn Hạnh,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,0,0,0,1
188,Vũ Viết Triều,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,0,0,0,1
195,Đoàn Công Thành,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,0,0,0,1
211,Nguyễn Văn Hiệp,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,0,1,1,1
228,Lê Hải Đức,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,0,0,0,1
229,Nguyễn Đình Bắc,2025-10-09 08:10:53,0,1,0,0,0,0,0,0,0,0,0,3,1,1
233,Nguyễn Văn Trạng,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,0,1,0,1
242,Lê Xuân Tú,2025-10-09 08:10:53,0,1,0,0,0,0,0,0,0,0,0,2,0,0
244,Phù Trung Phong,2025-10-09 08:10:53,0,0,0,0,1,0,0,0,0,0,0,0,0,0
250,Hoàng Vũ Olaleye Samson,2025-10-09 08:10:53,0,0,0,0,0,0,0,1,0,0,0,1,0,0
254,Đặng Văn Lâm,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,0,0,0,1
257,Đỗ Thanh Thịnh,2025-10-09 08:10:53,0,2,0,0,0,0,0,1,0,0,0,3,3,1
258,Le Viktor,2025-10-09 08:10:53,0,1,0,0,0,0,0,1,0,0,0,2,1,2
261,Leonardo Artur De Melo,2025-10-09 08:10:53,0,1,0,0,0,0,0,4,0,0,0,6,4,0
262,Trần Đình Trọng,2025-10-09 08:10:53,0,1,0,0,0,0,0,0,0,1,0,0,0,0
263,Đỗ Văn Thuận,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,0,0,0,1
266,Lê Ngọc Bảo,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,0,0,0,1
268,Adriano Schmidt,2025-10-09 08:10:53,0,0,0,0,0,0,0,0,0,0,0,1,1,0
